CustomerKey,CustomerCode,CustomerName,Email,Country,Region,Segment,LoyaltyTier,SignupDate,AgeBand
25,C1024,Customer_24,customer24@example.com,Japan,West,Core,Gold,2020-06-25,25-34
26,C1025,Customer_25,customer25@example.com,France,West,Hardcore,Bronze,2019-08-25,25-34
27,C1026,Customer_26,customer26@example.com,Germany,East,Hardcore,Silver,2019-08-08,45-54
28,C1027,Customer_27,customer27@example.com,Australia,West,Core,Gold,2022-02-07,25-34
29,C1028,Customer_28,customer28@example.com,USA,North,Hardcore,Bronze,2019-11-15,18-24
30,C1029,Customer_29,customer29@example.com,UK,Central,Hardcore,Platinum,2020-07-11,25-34
31,C1030,Customer_30,customer30@example.com,Canada,Central,Core,Silver,2020-07-31,45-54
32,C1031,Customer_31,customer31@example.com,UK,South,Hardcore,Bronze,2022-05-23,45-54
33,C1032,Customer_32,customer32@example.com,Australia,South,Hardcore,Silver,2020-03-07,18-24
34,C1033,Customer_33,customer33@example.com,USA,Central,Hardcore,Silver,2023-01-09,35-44
35,C1034,Customer_34,customer34@example.com,France,North,Core,Silver,2020-12-03,25-34
36,C1035,Customer_35,customer35@example.com,Germany,East,Hardcore,Bronze,2020-02-21,45-54
37,C1036,Customer_36,customer36@example.com,USA,East,Core,Gold,2022-11-08,25-34
38,C1037,Customer_37,customer37@example.com,Canada,North,Core,Bronze,2022-07-22,25-34
39,C1038,Customer_38,customer38@example.com,UK,East,Casual,Silver,2020-06-24,35-44
40,C1039,Customer_39,customer39@example.com,Canada,West,Casual,Bronze,2021-11-01,45-54
41,C1040,Customer_40,customer40@example.com,Canada,Central,Hardcore,Platinum,2021-09-27,25-34
42,C1041,Customer_41,customer41@example.com,Australia,Central,Core,Gold,2020-05-29,45-54
43,C1042,Customer_42,customer42@example.com,Australia,North,Casual,Bronze,2019-04-15,18-24
44,C1043,Customer_43,customer43@example.com,Germany,East,Hardcore,Platinum,2019-07-09,18-24
45,C1044,Customer_44,customer44@example.com,Australia,South,Casual,Gold,2022-07-23,25-34
46,C1045,Customer_45,customer45@example.com,Australia,South,Casual,Platinum,2021-05-17,45-54
47,C1046,Customer_46,customer46@example.com,USA,East,Core,Gold,2020-07-20,25-34
48,C1047,Customer_47,customer47@example.com,France,South,Core,Bronze,2019-04-01,45-54
49,C1048,Customer_48,customer48@example.com,Germany,North,Casual,Platinum,2019-01-08,45-54
50,C1049,Customer_49,customer49@example.com,USA,North,Casual,Silver,2020-11-14,35-44
51,C1050,Customer_50,customer50@example.com,France,East,Core,Platinum,2019-09-25,35-44
52,C1051,Customer_51,customer51@example.com,Canada,South,Hardcore,Gold,2022-07-28,35-44
53,C1052,Customer_52,customer52@example.com,USA,North,Core,Bronze,2020-06-20,25-34
54,C1053,Customer_53,customer53@example.com,Japan,North,Casual,Gold,2019-11-27,35-44
55,C1054,Customer_54,customer54@example.com,USA,West,Hardcore,Platinum,2021-06-23,35-44
56,C1055,Customer_55,customer55@example.com,Australia,West,Casual,Platinum,2022-02-03,18-24
57,C1056,Customer_56,customer56@example.com,France,North,Hardcore,Silver,2022-12-16,45-54
58,C1057,Customer_57,customer57@example.com,Germany,East,Casual,Bronze,2021-05-25,45-54
59,C1058,Customer_58,customer58@example.com,Germany,Central,Hardcore,Bronze,2022-02-22,35-44
60,C1059,Customer_59,customer59@example.com,France,Central,Hardcore,Platinum,2019-01-20,45-54
61,C1060,Customer_60,customer60@example.com,Australia,North,Casual,Bronze,2019-08-18,18-24
62,C1061,Customer_61,customer61@example.com,UK,North,Hardcore,Silver,2019-06-04,18-24
63,C1062,Customer_62,customer62@example.com,USA,North,Core,Gold,2022-11-16,35-44
64,C1063,Customer_63,customer63@example.com,Australia,East,Casual,Bronze,2019-11-02,18-24
65,C1064,Customer_64,customer64@example.com,Japan,West,Core,Platinum,2022-01-22,45-54
66,C1065,Customer_65,customer65@example.com,Canada,North,Casual,Gold,2019-03-15,25-34
67,C1066,Customer_66,customer66@example.com,France,North,Hardcore,Gold,2021-01-26,45-54
68,C1067,Customer_67,customer67@example.com,USA,South,Hardcore,Silver,2022-04-07,25-34
69,C1068,Customer_68,customer68@example.com,Germany,East,Hardcore,Platinum,2022-02-05,35-44
70,C1069,Customer_69,customer69@example.com,Canada,North,Casual,Bronze,2019-10-31,25-34
71,C1070,Customer_70,customer70@example.com,UK,South,Core,Platinum,2021-05-30,18-24
72,C1071,Customer_71,customer71@example.com,Japan,Central,Core,Gold,2019-09-19,45-54
73,C1072,Customer_72,customer72@example.com,Germany,North,Casual,Platinum,2019-03-27,25-34
74,C1073,Customer_73,customer73@example.com,France,North,Casual,Bronze,2020-09-23,45-54
75,C1074,Customer_74,customer74@example.com,USA,South,Core,Bronze,2021-01-16,35-44
76,C1075,Customer_75,customer75@example.com,France,East,Core,Silver,2019-03-23,35-44
77,C1076,Customer_76,customer76@example.com,Canada,North,Core,Bronze,2021-01-02,18-24
78,C1077,Customer_77,customer77@example.com,USA,Central,Core,Bronze,2020-03-06,35-44
79,C1078,Customer_78,customer78@example.com,Australia,North,Casual,Platinum,2022-10-28,25-34
80,C1079,Customer_79,customer79@example.com,UK,Central,Casual,Platinum,2020-05-26,35-44
81,C1080,Customer_80,customer80@example.com,Australia,West,Hardcore,Gold,2022-09-27,18-24
82,C1081,Customer_81,customer81@example.com,Australia,West,Core,Silver,2019-07-30,45-54
83,C1082,Customer_82,customer82@example.com,France,Central,Hardcore,Platinum,2020-12-25,45-54
84,C1083,Customer_83,customer83@example.com,Canada,East,Casual,Bronze,2022-02-20,35-44
85,C1084,Customer_84,customer84@example.com,UK,North,Casual,Gold,2021-04-12,25-34
86,C1085,Customer_85,customer85@example.com,USA,North,Hardcore,Platinum,2022-06-25,18-24
87,C1086,Customer_86,customer86@example.com,USA,West,Core,Silver,2019-11-13,25-34
88,C1087,Customer_87,customer87@example.com,Japan,Central,Core,Silver,2020-04-29,18-24
89,C1088,Customer_88,customer88@example.com,Germany,North,Core,Gold,2019-11-29,35-44
90,C1089,Customer_89,customer89@example.com,Japan,North,Core,Gold,2019-12-29,18-24
91,C1090,Customer_90,customer90@example.com,Japan,East,Hardcore,Gold,2021-04-24,18-24
92,C1091,Customer_91,customer91@example.com,USA,South,Hardcore,Gold,2019-02-20,35-44
93,C1092,Customer_92,customer92@example.com,France,West,Casual,Gold,2020-01-03,25-34
94,C1093,Customer_93,customer93@example.com,Australia,West,Core,Bronze,2020-11-11,35-44
95,C1094,Customer_94,customer94@example.com,Canada,South,Core,Bronze,2021-04-23,18-24
96,C1095,Customer_95,customer95@example.com,Australia,North,Core,Platinum,2022-10-03,35-44
97,C1096,Customer_96,customer96@example.com,Australia,East,Hardcore,Silver,2020-05-23,18-24
98,C1097,Customer_97,customer97@example.com,UK,East,Core,Bronze,2020-06-30,35-44
99,C1098,Customer_98,customer98@example.com,USA,West,Hardcore,Bronze,2019-11-23,45-54
100,C1099,Customer_99,customer99@example.com,Canada,East,Core,Bronze,2022-12-07,45-54
101,C1100,Customer_100,customer100@example.com,France,South,Core,Platinum,2019-08-10,35-44
102,C1101,Customer_101,customer101@example.com,UK,North,Casual,Gold,2021-02-22,25-34
103,C1102,Customer_102,customer102@example.com,Germany,South,Core,Platinum,2019-03-21,18-24
104,C1103,Customer_103,customer103@example.com,France,Central,Core,Silver,2021-08-21,45-54
105,C1104,Customer_104,customer104@example.com,Japan,West,Casual,Silver,2020-03-31,25-34
106,C1105,Customer_105,customer105@example.com,France,East,Hardcore,Silver,2020-02-13,18-24
107,C1106,Customer_106,customer106@example.com,France,Central,Hardcore,Silver,2021-07-31,45-54
108,C1107,Customer_107,customer107@example.com,Australia,East,Core,Bronze,2020-12-17,45-54
109,C1108,Customer_108,customer108@example.com,France,North,Hardcore,Bronze,2020-09-17,35-44
110,C1109,Customer_109,customer109@example.com,Japan,North,Core,Platinum,2020-04-11,18-24
111,C1110,Customer_110,customer110@example.com,Japan,North,Casual,Gold,2020-04-01,25-34
112,C1111,Customer_111,customer111@example.com,USA,East,Casual,Silver,2019-02-18,25-34
113,C1112,Customer_112,customer112@example.com,France,Central,Core,Platinum,2022-09-13,25-34
114,C1113,Customer_113,customer113@example.com,Australia,North,Casual,Bronze,2020-01-31,18-24
115,C1114,Customer_114,customer114@example.com,France,Central,Casual,Bronze,2021-03-27,25-34
116,C1115,Customer_115,customer115@example.com,Germany,East,Core,Gold,2020-11-03,25-34
117,C1116,Customer_116,customer116@example.com,Germany,Central,Core,Gold,2020-07-24,25-34
118,C1117,Customer_117,customer117@example.com,Australia,East,Casual,Gold,2019-05-23,35-44
119,C1118,Customer_118,customer118@example.com,USA,East,Hardcore,Platinum,2020-07-25,35-44
120,C1119,Customer_119,customer119@example.com,USA,West,Hardcore,Bronze,2020-12-20,18-24
121,C1120,Customer_120,customer120@example.com,Japan,East,Core,Bronze,2022-08-06,18-24
122,C1121,Customer_121,customer121@example.com,Japan,East,Core,Gold,2021-11-09,25-34
123,C1122,Customer_122,customer122@example.com,UK,South,Hardcore,Silver,2021-03-29,35-44
124,C1123,Customer_123,customer123@example.com,Australia,North,Casual,Gold,2022-10-23,45-54
125,C1124,Customer_124,customer124@example.com,France,West,Hardcore,Platinum,2022-01-03,45-54
126,C1125,Customer_125,customer125@example.com,Canada,West,Hardcore,Gold,2020-11-09,25-34
127,C1126,Customer_126,customer126@example.com,Australia,West,Hardcore,Gold,2019-02-26,25-34
128,C1127,Customer_127,customer127@example.com,UK,South,Hardcore,Platinum,2019-08-25,35-44
129,C1128,Customer_128,customer128@example.com,Japan,East,Core,Gold,2020-06-18,35-44
130,C1129,Customer_129,customer129@example.com,Australia,North,Core,Bronze,2020-01-01,35-44
131,C1130,Customer_130,customer130@example.com,Australia,Central,Casual,Silver,2022-04-04,18-24
132,C1131,Customer_131,customer131@example.com,Japan,East,Casual,Gold,2020-06-27,18-24
133,C1132,Customer_132,customer132@example.com,UK,South,Casual,Platinum,2019-03-20,25-34
134,C1133,Customer_133,customer133@example.com,Japan,East,Casual,Silver,2019-08-11,18-24
135,C1134,Customer_134,customer134@example.com,USA,East,Hardcore,Platinum,2022-05-06,35-44
136,C1135,Customer_135,customer135@example.com,France,South,Core,Silver,2021-06-08,35-44
137,C1136,Customer_136,customer136@example.com,Japan,West,Core,Silver,2020-12-08,18-24
138,C1137,Customer_137,customer137@example.com,UK,West,Casual,Gold,2023-02-01,45-54
139,C1138,Customer_138,customer138@example.com,Germany,North,Casual,Bronze,2020-10-04,25-34
140,C1139,Customer_139,customer139@example.com,USA,North,Hardcore,Gold,2021-06-12,45-54
141,C1140,Customer_140,customer140@example.com,Germany,West,Hardcore,Platinum,2022-05-26,25-34
142,C1141,Customer_141,customer141@example.com,Canada,Central,Casual,Platinum,2021-11-13,45-54
143,C1142,Customer_142,customer142@example.com,Japan,East,Core,Silver,2019-08-25,18-24
144,C1143,Customer_143,customer143@example.com,USA,Central,Core,Silver,2021-02-27,25-34
145,C1144,Customer_144,customer144@example.com,France,East,Core,Bronze,2022-03-26,25-34
146,C1145,Customer_145,customer145@example.com,Japan,West,Casual,Gold,2020-01-25,25-34
147,C1146,Customer_146,customer146@example.com,France,North,Core,Platinum,2020-06-05,35-44
148,C1147,Customer_147,customer147@example.com,Australia,North,Hardcore,Silver,2019-04-01,35-44
149,C1148,Customer_148,customer148@example.com,Germany,Central,Hardcore,Bronze,2022-12-22,45-54
150,C1149,Customer_149,customer149@example.com,USA,North,Casual,Platinum,2021-06-12,18-24
151,C1150,Customer_150,customer150@example.com,France,West,Hardcore,Silver,2019-01-04,35-44
152,C1151,Customer_151,customer151@example.com,UK,Central,Casual,Platinum,2021-11-30,25-34
153,C1152,Customer_152,customer152@example.com,France,East,Core,Bronze,2022-01-07,35-44
154,C1153,Customer_153,customer153@example.com,UK,North,Core,Bronze,2022-11-07,18-24
155,C1154,Customer_154,customer154@example.com,Japan,South,Core,Platinum,2023-01-13,35-44
156,C1155,Customer_155,customer155@example.com,USA,North,Hardcore,Gold,2022-10-05,25-34
157,C1156,Customer_156,customer156@example.com,France,East,Casual,Platinum,2020-02-08,45-54
158,C1157,Customer_157,customer157@example.com,Canada,Central,Core,Silver,2021-01-15,25-34
159,C1158,Customer_158,customer158@example.com,France,East,Casual,Gold,2021-06-02,18-24
160,C1159,Customer_159,customer159@example.com,Canada,South,Core,Silver,2019-05-24,45-54
161,C1160,Customer_160,customer160@example.com,USA,West,Hardcore,Platinum,2022-09-22,35-44
162,C1161,Customer_161,customer161@example.com,France,North,Hardcore,Gold,2020-11-07,35-44
163,C1162,Customer_162,customer162@example.com,UK,Central,Casual,Silver,2022-06-30,35-44
164,C1163,Customer_163,customer163@example.com,France,West,Hardcore,Platinum,2020-10-04,45-54
165,C1164,Customer_164,customer164@example.com,Germany,East,Hardcore,Platinum,2022-09-20,25-34
166,C1165,Customer_165,customer165@example.com,Japan,Central,Casual,Gold,2019-09-13,45-54
167,C1166,Customer_166,customer166@example.com,Australia,West,Core,Platinum,2023-01-14,45-54
168,C1167,Customer_167,customer167@example.com,UK,Central,Hardcore,Bronze,2020-09-07,18-24
169,C1168,Customer_168,customer168@example.com,Germany,South,Casual,Silver,2021-11-04,45-54
170,C1169,Customer_169,customer169@example.com,Canada,South,Hardcore,Silver,2020-09-25,35-44
171,C1170,Customer_170,customer170@example.com,Japan,North,Hardcore,Platinum,2022-09-27,25-34
172,C1171,Customer_171,customer171@example.com,USA,North,Hardcore,Platinum,2021-04-16,25-34
173,C1172,Customer_172,customer172@example.com,UK,South,Hardcore,Bronze,2020-10-30,25-34
174,C1173,Customer_173,customer173@example.com,Australia,Central,Casual,Gold,2021-04-04,35-44
175,C1174,Customer_174,customer174@example.com,Japan,South,Casual,Platinum,2022-11-28,35-44
176,C1175,Customer_175,customer175@example.com,Canada,North,Casual,Platinum,2020-08-28,35-44
177,C1176,Customer_176,customer176@example.com,Australia,South,Hardcore,Platinum,2022-02-09,35-44
178,C1177,Customer_177,customer177@example.com,USA,South,Hardcore,Platinum,2019-09-18,35-44
179,C1178,Customer_178,customer178@example.com,USA,Central,Hardcore,Silver,2020-01-28,45-54
180,C1179,Customer_179,customer179@example.com,Canada,West,Casual,Platinum,2021-05-11,35-44
181,C1180,Customer_180,customer180@example.com,UK,North,Hardcore,Silver,2022-09-23,35-44
182,C1181,Customer_181,customer181@example.com,Canada,Central,Core,Platinum,2021-02-15,35-44
183,C1182,Customer_182,customer182@example.com,France,South,Hardcore,Gold,2022-10-19,35-44
184,C1183,Customer_183,customer183@example.com,USA,South,Core,Bronze,2019-12-23,25-34
185,C1184,Customer_184,customer184@example.com,Japan,West,Hardcore,Gold,2022-06-14,35-44
186,C1185,Customer_185,customer185@example.com,France,North,Casual,Platinum,2022-03-11,45-54
187,C1186,Customer_186,customer186@example.com,Germany,North,Hardcore,Platinum,2020-09-08,45-54
188,C1187,Customer_187,customer187@example.com,Australia,East,Core,Platinum,2021-04-11,45-54
189,C1188,Customer_188,customer188@example.com,France,North,Core,Gold,2022-01-27,18-24
190,C1189,Customer_189,customer189@example.com,Australia,West,Hardcore,Platinum,2019-01-01,25-34
191,C1190,Customer_190,customer190@example.com,Canada,East,Core,Gold,2020-09-14,35-44
192,C1191,Customer_191,customer191@example.com,France,East,Core,Silver,2020-08-10,18-24
193,C1192,Customer_192,customer192@example.com,Canada,South,Casual,Bronze,2020-03-06,35-44
194,C1193,Customer_193,customer193@example.com,Germany,South,Hardcore,Bronze,2021-05-30,18-24
195,C1194,Customer_194,customer194@example.com,USA,North,Hardcore,Gold,2022-04-02,18-24
196,C1195,Customer_195,customer195@example.com,Germany,East,Hardcore,Silver,2022-05-27,45-54
197,C1196,Customer_196,customer196@example.com,USA,South,Core,Gold,2022-09-02,45-54
198,C1197,Customer_197,customer197@example.com,Canada,West,Hardcore,Silver,2020-10-21,18-24
199,C1198,Customer_198,customer198@example.com,USA,South,Hardcore,Platinum,2021-08-10,45-54
200,C1199,Customer_199,customer199@example.com,Australia,South,Casual,Silver,2021-06-23,18-24
201,C1200,Customer_200,customer200@example.com,Japan,East,Casual,Silver,2021-06-24,25-34
202,C1201,Customer_201,customer201@example.com,Germany,East,Casual,Silver,2022-10-15,45-54
203,C1202,Customer_202,customer202@example.com,France,Central,Core,Bronze,2020-03-13,45-54
204,C1203,Customer_203,customer203@example.com,Germany,West,Hardcore,Silver,2021-11-12,45-54
205,C1204,Customer_204,customer204@example.com,Australia,East,Casual,Platinum,2021-08-27,25-34
206,C1205,Customer_205,customer205@example.com,USA,North,Casual,Platinum,2019-12-14,18-24
207,C1206,Customer_206,customer206@example.com,Australia,West,Casual,Platinum,2022-09-11,35-44
208,C1207,Customer_207,customer207@example.com,UK,West,Hardcore,Silver,2019-06-23,45-54
209,C1208,Customer_208,customer208@example.com,UK,East,Hardcore,Gold,2020-08-04,18-24
210,C1209,Customer_209,customer209@example.com,France,West,Hardcore,Gold,2021-11-21,25-34
211,C1210,Customer_210,customer210@example.com,Australia,East,Core,Platinum,2022-09-21,35-44
212,C1211,Customer_211,customer211@example.com,Canada,South,Core,Bronze,2022-07-20,45-54
213,C1212,Customer_212,customer212@example.com,France,Central,Casual,Gold,2022-06-22,25-34
214,C1213,Customer_213,customer213@example.com,Canada,South,Hardcore,Silver,2020-11-17,25-34
215,C1214,Customer_214,customer214@example.com,France,East,Casual,Gold,2019-07-11,35-44
216,C1215,Customer_215,customer215@example.com,UK,East,Hardcore,Platinum,2020-04-26,18-24
217,C1216,Customer_216,customer216@example.com,France,South,Hardcore,Bronze,2022-10-09,45-54
218,C1217,Customer_217,customer217@example.com,UK,North,Hardcore,Gold,2020-09-27,45-54
219,C1218,Customer_218,customer218@example.com,USA,North,Core,Gold,2020-04-05,18-24
220,C1219,Customer_219,customer219@example.com,Canada,North,Core,Platinum,2020-02-12,18-24
221,C1220,Customer_220,customer220@example.com,Australia,East,Hardcore,Bronze,2019-10-29,18-24
222,C1221,Customer_221,customer221@example.com,France,West,Casual,Bronze,2019-02-20,35-44
223,C1222,Customer_222,customer222@example.com,UK,East,Hardcore,Platinum,2019-04-05,35-44
224,C1223,Customer_223,customer223@example.com,Germany,West,Hardcore,Silver,2020-05-16,45-54
225,C1224,Customer_224,customer224@example.com,Canada,South,Casual,Gold,2021-08-31,35-44
226,C1225,Customer_225,customer225@example.com,France,Central,Hardcore,Silver,2022-06-05,25-34
227,C1226,Customer_226,customer226@example.com,Japan,West,Casual,Gold,2019-05-30,45-54
228,C1227,Customer_227,customer227@example.com,USA,North,Core,Gold,2021-07-21,35-44
229,C1228,Customer_228,customer228@example.com,USA,East,Core,Silver,2021-04-28,18-24
230,C1229,Customer_229,customer229@example.com,Germany,South,Casual,Platinum,2022-07-13,25-34
231,C1230,Customer_230,customer230@example.com,UK,North,Core,Platinum,2022-03-24,18-24
232,C1231,Customer_231,customer231@example.com,France,South,Core,Gold,2020-02-03,45-54
233,C1232,Customer_232,customer232@example.com,Canada,Central,Casual,Platinum,2023-01-11,18-24
234,C1233,Customer_233,customer233@example.com,UK,East,Core,Gold,2022-11-27,35-44
235,C1234,Customer_234,customer234@example.com,USA,East,Hardcore,Platinum,2021-02-25,35-44
236,C1235,Customer_235,customer235@example.com,UK,Central,Hardcore,Gold,2021-10-09,45-54
237,C1236,Customer_236,customer236@example.com,USA,East,Casual,Platinum,2021-03-29,18-24
238,C1237,Customer_237,customer237@example.com,UK,West,Core,Bronze,2020-05-14,45-54
239,C1238,Customer_238,customer238@example.com,Germany,South,Hardcore,Silver,2019-10-30,18-24
240,C1239,Customer_239,customer239@example.com,Australia,North,Hardcore,Bronze,2022-09-05,25-34
241,C1240,Customer_240,customer240@example.com,Germany,Central,Core,Silver,2022-11-09,35-44
242,C1241,Customer_241,customer241@example.com,Germany,West,Core,Silver,2019-01-12,45-54
243,C1242,Customer_242,customer242@example.com,Australia,North,Hardcore,Gold,2019-08-07,25-34
244,C1243,Customer_243,customer243@example.com,Australia,North,Hardcore,Silver,2021-05-20,25-34
245,C1244,Customer_244,customer244@example.com,France,Central,Casual,Bronze,2020-03-24,45-54
246,C1245,Customer_245,customer245@example.com,Canada,West,Casual,Bronze,2019-12-27,45-54
247,C1246,Customer_246,customer246@example.com,Canada,North,Hardcore,Platinum,2022-11-26,25-34
248,C1247,Customer_247,customer247@example.com,France,North,Casual,Bronze,2021-11-26,18-24
249,C1248,Customer_248,customer248@example.com,Germany,West,Hardcore,Platinum,2021-08-09,25-34
250,C1249,Customer_249,customer249@example.com,Germany,East,Hardcore,Silver,2019-04-13,45-54
251,C1250,Customer_250,customer250@example.com,USA,North,Casual,Bronze,2022-02-15,25-34
252,C1251,Customer_251,customer251@example.com,USA,South,Casual,Silver,2020-05-25,18-24
253,C1252,Customer_252,customer252@example.com,Canada,West,Core,Bronze,2019-09-06,35-44
254,C1253,Customer_253,customer253@example.com,France,North,Core,Bronze,2021-07-23,35-44
255,C1254,Customer_254,customer254@example.com,Japan,Central,Core,Platinum,2019-10-01,25-34
256,C1255,Customer_255,customer255@example.com,Japan,South,Hardcore,Silver,2021-08-09,18-24
257,C1256,Customer_256,customer256@example.com,France,North,Casual,Bronze,2022-09-29,35-44
258,C1257,Customer_257,customer257@example.com,USA,South,Hardcore,Gold,2021-12-23,25-34
259,C1258,Customer_258,customer258@example.com,Canada,South,Casual,Silver,2022-02-18,25-34
260,C1259,Customer_259,customer259@example.com,Canada,East,Hardcore,Silver,2022-05-04,18-24
261,C1260,Customer_260,customer260@example.com,USA,South,Core,Silver,2020-10-11,45-54
262,C1261,Customer_261,customer261@example.com,Japan,East,Core,Platinum,2021-06-25,25-34
263,C1262,Customer_262,customer262@example.com,UK,West,Core,Gold,2022-06-08,45-54
264,C1263,Customer_263,customer263@example.com,UK,East,Hardcore,Silver,2023-01-13,45-54
265,C1264,Customer_264,customer264@example.com,USA,Central,Casual,Bronze,2021-10-30,35-44
266,C1265,Customer_265,customer265@example.com,UK,North,Casual,Bronze,2021-05-23,45-54
267,C1266,Customer_266,customer266@example.com,Australia,West,Core,Platinum,2022-01-27,18-24
268,C1267,Customer_267,customer267@example.com,France,West,Core,Bronze,2021-07-02,35-44
269,C1268,Customer_268,customer268@example.com,France,Central,Core,Silver,2019-11-22,35-44
270,C1269,Customer_269,customer269@example.com,USA,East,Core,Bronze,2021-08-30,35-44
271,C1270,Customer_270,customer270@example.com,Germany,North,Casual,Silver,2021-07-10,25-34
272,C1271,Customer_271,customer271@example.com,Japan,East,Hardcore,Bronze,2020-06-14,25-34
273,C1272,Customer_272,customer272@example.com,USA,South,Hardcore,Gold,2020-05-21,45-54
274,C1273,Customer_273,customer273@example.com,UK,East,Hardcore,Platinum,2022-07-29,35-44
275,C1274,Customer_274,customer274@example.com,Japan,West,Hardcore,Platinum,2020-07-21,35-44
276,C1275,Customer_275,customer275@example.com,Germany,North,Core,Gold,2021-12-03,18-24
277,C1276,Customer_276,customer276@example.com,UK,East,Core,Gold,2021-09-19,45-54
278,C1277,Customer_277,customer277@example.com,Canada,North,Core,Platinum,2022-07-07,18-24
279,C1278,Customer_278,customer278@example.com,Australia,North,Hardcore,Gold,2020-05-04,45-54
280,C1279,Customer_279,customer279@example.com,UK,South,Core,Silver,2020-07-16,45-54
281,C1280,Customer_280,customer280@example.com,Australia,South,Core,Bronze,2021-06-19,25-34
282,C1281,Customer_281,customer281@example.com,Japan,West,Casual,Platinum,2019-06-08,25-34
283,C1282,Customer_282,customer282@example.com,Australia,Central,Casual,Gold,2023-01-01,18-24
284,C1283,Customer_283,customer283@example.com,Japan,North,Core,Silver,2020-08-08,45-54
285,C1284,Customer_284,customer284@example.com,Japan,Central,Casual,Platinum,2020-04-25,35-44
286,C1285,Customer_285,customer285@example.com,Japan,West,Casual,Gold,2020-07-10,25-34
287,C1286,Customer_286,customer286@example.com,Japan,North,Core,Platinum,2020-11-18,35-44
288,C1287,Customer_287,customer287@example.com,Japan,North,Core,Gold,2020-10-16,18-24
289,C1288,Customer_288,customer288@example.com,UK,Central,Core,Platinum,2022-01-11,25-34
290,C1289,Customer_289,customer289@example.com,Japan,East,Core,Silver,2019-06-15,25-34
291,C1290,Customer_290,customer290@example.com,UK,South,Hardcore,Silver,2019-10-11,45-54
292,C1291,Customer_291,customer291@example.com,Japan,East,Hardcore,Bronze,2019-11-05,18-24
293,C1292,Customer_292,customer292@example.com,Australia,Central,Core,Platinum,2020-04-18,45-54
294,C1293,Customer_293,customer293@example.com,Canada,South,Casual,Bronze,2021-02-23,25-34
295,C1294,Customer_294,customer294@example.com,Japan,East,Core,Platinum,2022-11-22,18-24
296,C1295,Customer_295,customer295@example.com,Germany,South,Core,Gold,2019-11-09,25-34
297,C1296,Customer_296,customer296@example.com,Japan,North,Casual,Gold,2022-12-17,18-24
298,C1297,Customer_297,customer297@example.com,Japan,East,Hardcore,Bronze,2020-03-14,25-34
299,C1298,Customer_298,customer298@example.com,Australia,South,Core,Platinum,2019-05-12,35-44
300,C1299,Customer_299,customer299@example.com,France,South,Core,Bronze,2021-04-29,35-44
301,C1300,Customer_300,customer300@example.com,Australia,South,Hardcore,Silver,2021-04-14,45-54
302,C1301,Customer_301,customer301@example.com,Germany,East,Hardcore,Bronze,2020-11-08,35-44
303,C1302,Customer_302,customer302@example.com,France,West,Casual,Bronze,2022-01-16,25-34
304,C1303,Customer_303,customer303@example.com,USA,East,Hardcore,Gold,2021-08-12,25-34
305,C1304,Customer_304,customer304@example.com,USA,Central,Hardcore,Bronze,2021-05-01,35-44
